sample	drug	rule_matches
HG00367	Tacrolimus	1
HG00367	Voriconazole	1
HG00367	clopidogrel	1
HG00367	efavirenz	1
HG00367	rosuvastatin	1
HG00367	sertraline	1
HG01061	Tacrolimus	1
HG01061	Voriconazole	1
HG01061	clopidogrel	1
HG01061	rosuvastatin	1
HG01061	sertraline	1
HG01892	Tacrolimus	1
HG01892	Voriconazole	1
HG01892	clopidogrel	1
HG01892	rosuvastatin	1
HG01892	sertraline	1
HG03069	Tacrolimus	1
HG03069	Voriconazole	1
HG03069	clopidogrel	1
HG03069	efavirenz	1
HG03069	rosuvastatin	1
HG03069	sertraline	1
HG04227	Tacrolimus	1
HG04227	Voriconazole	1
HG04227	clopidogrel	1
HG04227	rosuvastatin	1
HG04227	sertraline	1
NA18939	Tacrolimus	1
NA18939	Voriconazole	1
NA18939	clopidogrel	1
NA18939	efavirenz	1
NA18939	rosuvastatin	1
NA18939	sertraline	1
NA19007	Tacrolimus	1
NA19007	Voriconazole	1
NA19007	clopidogrel	1
NA19007	rosuvastatin	1
NA19007	sertraline	1
NA20299	Tacrolimus	1
NA20299	Voriconazole	1
NA20299	clopidogrel	1
NA20299	efavirenz	1
NA20299	rosuvastatin	1
NA20299	sertraline	1
NA21091	Tacrolimus	1
NA21091	Voriconazole	1
NA21091	clopidogrel	1
NA21091	rosuvastatin	1
NA21091	sertraline	1
NA21120	Tacrolimus	1
NA21120	Voriconazole	1
NA21120	clopidogrel	1
NA21120	rosuvastatin	1
NA21120	sertraline	1
